2025-12-09 02:17:34,131 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 02:17:34,131 | app.main | INFO | ✓ OPENAI_API_KEY configured
2025-12-09 02:18:23,254 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 02:19:08,564 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 02:19:08,569 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 02:19:08,569 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 02:19:08,569 | app.main | INFO | ✓ OPENAI_API_KEY configured
2025-12-09 02:20:34,651 | app.main | INFO | Contract uploaded: 25844064-945d-4a6a-967a-0e649cc4607d, filename: testvertrag.pdf
2025-12-09 02:20:34,709 | app.main | INFO | Text extracted for 25844064-945d-4a6a-967a-0e649cc4607d, 2658 chars
2025-12-09 02:20:35,691 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
2025-12-09 02:20:35,695 | app.logging_service | INFO | ✗ employment | demo-tenant-1 | 983ms | 0 risks | ? in / ? out tokens
2025-12-09 02:20:35,695 | app.main | ERROR | LLM error for 25844064-945d-4a6a-967a-0e649cc4607d: LLM call failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: dein_api_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-12-09 02:20:35,725 | app.main | INFO | Text extracted for 25844064-945d-4a6a-967a-0e649cc4607d, 2658 chars
2025-12-09 02:20:36,302 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
2025-12-09 02:20:36,304 | app.logging_service | INFO | ✗ saas | demo-tenant-1 | 578ms | 0 risks | ? in / ? out tokens
2025-12-09 02:20:36,304 | app.main | ERROR | LLM error for 25844064-945d-4a6a-967a-0e649cc4607d: LLM call failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: dein_api_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-12-09 02:21:50,005 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 02:22:38,077 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 02:22:38,082 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 02:22:38,082 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 02:22:38,082 | app.main | WARNING | ⚠️  DUMMY MODE ENABLED – Nutzt Mock-Responses statt echter API
2025-12-09 02:22:40,723 | app.main | INFO | Contract uploaded: a10e4be1-8320-46d0-aacd-5ab6bf334e5b, filename: testvertrag.pdf
2025-12-09 02:22:40,788 | app.main | INFO | Text extracted for a10e4be1-8320-46d0-aacd-5ab6bf334e5b, 2658 chars
2025-12-09 02:22:40,789 | app.logging_service | INFO | ✓ employment | demo-tenant-1 | 0ms | 1 risks | ? in / ? out tokens
2025-12-09 02:22:40,789 | app.main | INFO | Analysis completed: a10e4be1-8320-46d0-aacd-5ab6bf334e5b (employment), 0ms, 1 risk flags
2025-12-09 02:22:40,811 | app.main | INFO | Text extracted for a10e4be1-8320-46d0-aacd-5ab6bf334e5b, 2658 chars
2025-12-09 02:22:40,812 | app.logging_service | INFO | ✓ saas | demo-tenant-1 | 0ms | 0 risks | ? in / ? out tokens
